label,image
Jester,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/732ca067-5b7e-4087-9e5c-18110d1bd1b5?alt=media&token=5c130dd8-87fb-41e9-8e52-3d29949f0cb9
2 of Clubs,/img/cards/clubs-2.svg
3 of Clubs,/img/cards/clubs-3.svg
4 of Clubs,/img/cards/clubs-4.svg
5 of Clubs,/img/cards/clubs-5.svg
6 of Clubs,/img/cards/clubs-6.svg
7 of Clubs,/img/cards/clubs-7.svg
8 of Clubs,/img/cards/clubs-8.svg
9 of Clubs,/img/cards/clubs-9.svg
10 of Clubs,/img/cards/clubs-10.svg
J of Clubs,/img/cards/clubs-j.svg
Q of Clubs,/img/cards/clubs-q.svg
K of Clubs,/img/cards/clubs-k.svg
A of Clubs,/img/cards/clubs-a.svg
2 of Diamonds,/img/cards/diamonds-2.svg
3 of Diamonds,/img/cards/diamonds-3.svg
4 of Diamonds,/img/cards/diamonds-4.svg
5 of Diamonds,/img/cards/diamonds-5.svg
6 of Diamonds,/img/cards/diamonds-6.svg
7 of Diamonds,/img/cards/diamonds-7.svg
8 of Diamonds,/img/cards/diamonds-8.svg
9 of Diamonds,/img/cards/diamonds-9.svg
10 of Diamonds,/img/cards/diamonds-10.svg
J of Diamonds,/img/cards/diamonds-j.svg
Q of Diamonds,/img/cards/diamonds-q.svg
K of Diamonds,/img/cards/diamonds-k.svg
A of Diamonds,/img/cards/diamonds-a.svg
2 of Spades,/img/cards/spades-2.svg
3 of Spades,/img/cards/spades-3.svg
4 of Spades,/img/cards/spades-4.svg
5 of Spades,/img/cards/spades-5.svg
6 of Spades,/img/cards/spades-6.svg
7 of Spades,/img/cards/spades-7.svg
8 of Spades,/img/cards/spades-8.svg
9 of Spades,/img/cards/spades-9.svg
10 of Spades,/img/cards/spades-10.svg
J of Spades,/img/cards/spades-j.svg
Q of Spades,/img/cards/spades-q.svg
K of Spades,/img/cards/spades-k.svg
A of Spades,/img/cards/spades-a.svg
2 of Hearts,/img/cards/hearts-2.svg
3 of Hearts,/img/cards/hearts-3.svg
4 of Hearts,/img/cards/hearts-4.svg
5 of Hearts,/img/cards/hearts-5.svg
6 of Hearts,/img/cards/hearts-6.svg
7 of Hearts,/img/cards/hearts-7.svg
8 of Hearts,/img/cards/hearts-8.svg
9 of Hearts,/img/cards/hearts-9.svg
10 of Hearts,/img/cards/hearts-10.svg
J of Hearts,/img/cards/hearts-j.svg
Q of Hearts,/img/cards/hearts-q.svg
K of Hearts,/img/cards/hearts-k.svg
A of Hearts,/img/cards/hearts-a.svg
Wizard,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/427dc8af-74bb-4a4c-aa68-c9b20de92fc0?alt=media&token=acc94ba3-4ae9-4a1c-a445-d40ccbcb4ee3
